cmp625, 4, Hybrid_100, 5000, 0.0103, cei1
cmp625, 4, Hybrid_500, 5000, 0.0334, cei1
cmp625, 4, Hybrid_1000, 5000, 0.0673, cei1
cmp625, 4, Hybrid_5000, 5000, 0.4819, cei1
cmp625, 4, NativeSorted, 5000, 0.0008, cei1
cmp625, 4, BruteForce, 10000, 1.8931, cei1
cmp625, 4, Hybrid_5, 10000, 0.0129, cei1
cmp625, 4, Hybrid_10, 10000, 0.0124, cei1
cmp625, 4, Hybrid_20, 10000, 0.0126, cei1
cmp625, 4, Hybrid_30, 10000, 0.0132, cei1
cmp625, 4, Hybrid_50, 10000, 0.0151, cei1
cmp625, 4, Hybrid_100, 10000, 0.0203, cei1
cmp625, 4, Hybrid_500, 10000, 0.0729, cei1
cmp625, 4, Hybrid_1000, 10000, 0.1200, cei1
cmp625, 4, Hybrid_5000, 10000, 0.5386, cei1
cmp625, 4, NativeSorted, 10000, 0.0016, cei1
cmp625, 4, BruteForce, 50000, 51.3655, cei1
cmp625, 4, Hybrid_5, 50000, 0.0756, cei1
cmp625, 4, Hybrid_10, 50000, 0.0730, cei1
cmp625, 4, Hybrid_20, 50000, 0.0738, cei1
cmp625, 4, Hybrid_30, 50000, 0.0772, cei1
cmp625, 4, Hybrid_50, 50000, 0.0862, cei1
cmp625, 4, Hybrid_100, 50000, 0.1141, cei1
cmp625, 4, Hybrid_500, 50000, 0.3638, cei1
cmp625, 4, Hybrid_1000, 50000, 0.6891, cei1
cmp625, 4, Hybrid_5000, 50000, 2.9790, cei1
cmp625, 4, NativeSorted, 50000, 0.0099, cei1
cmp625, 4, BruteForce, 100000, 211.6227, cei1
cmp625, 4, Hybrid_5, 100000, 0.1562, cei1
cmp625, 4, Hybrid_10, 100000, 0.1520, cei1
cmp625, 4, Hybrid_20, 100000, 0.1539, cei1
cmp625, 4, Hybrid_30, 100000, 0.1604, cei1
cmp625, 4, Hybrid_50, 100000, 0.1786, cei1
cmp625, 4, Hybrid_100, 100000, 0.2327, cei1
cmp625, 4, Hybrid_500, 100000, 0.7100, cei1
cmp625, 4, Hybrid_1000, 100000, 1.2970, cei1
cmp625, 4, Hybrid_5000, 100000, 6.0454, cei1
cmp625, 4, NativeSorted, 100000, 0.0211, cei1
cmp625, 4, BruteForce, 500000, 5735.5772, cei1
cmp625, 4, Hybrid_5, 500000, 0.9877, cei1
cmp625, 4, Hybrid_10, 500000, 0.9638, cei1
cmp625, 4, Hybrid_20, 500000, 0.9730, cei1
cmp625, 4, Hybrid_30, 500000, 1.0062, cei1
cmp625, 4, Hybrid_50, 500000, 1.1010, cei1
cmp625, 4, Hybrid_100, 500000, 1.3758, cei1
cmp625, 4, Hybrid_500, 500000, 3.8447, cei1
cmp625, 4, Hybrid_1000, 500000, 7.0281, cei1
cmp625, 4, Hybrid_5000, 500000, 33.7133, cei1
cmp625, 4, NativeSorted, 500000, 0.1350, cei1
cmp625, 4, BruteForce, 1000000, 28997.2427, cei1
cmp625, 4, Hybrid_5, 1000000, 2.1015, cei1
cmp625, 4, Hybrid_10, 1000000, 2.0456, cei1
cmp625, 4, Hybrid_20, 1000000, 2.0635, cei1
cmp625, 4, Hybrid_30, 1000000, 2.1313, cei1
cmp625, 4, Hybrid_50, 1000000, 2.3109, cei1
cmp625, 4, Hybrid_100, 1000000, 2.8650, cei1
cmp625, 4, Hybrid_500, 1000000, 7.9076, cei1
cmp625, 4, Hybrid_1000, 1000000, 14.1898, cei1
cmp625, 4, Hybrid_5000, 1000000, 65.5643, cei1
cmp625, 4, NativeSorted, 1000000, 0.3102, cei1
cmp625, 5, BruteForce, 1000, 0.0195, cei1
cmp625, 5, Hybrid_5, 1000, 0.0010, cei1
cmp625, 5, Hybrid_10, 1000, 0.0009, cei1
cmp625, 5, Hybrid_20, 1000, 0.0009, cei1
cmp625, 5, Hybrid_30, 1000, 0.0009, cei1
cmp625, 5, Hybrid_50, 1000, 0.0012, cei1
cmp625, 5, Hybrid_100, 1000, 0.0018, cei1
cmp625, 5, Hybrid_500, 1000, 0.0060, cei1
cmp625, 5, Hybrid_1000, 1000, 0.0188, cei1
cmp625, 5, Hybrid_5000, 1000, 0.0189, cei1
cmp625, 5, NativeSorted, 1000, 0.0001, cei1
cmp625, 5, BruteForce, 2000, 0.0773, cei1
cmp625, 5, Hybrid_5, 2000, 0.0022, cei1
cmp625, 5, Hybrid_10, 2000, 0.0021, cei1
cmp625, 5, Hybrid_20, 2000, 0.0022, cei1
cmp625, 5, Hybrid_30, 2000, 0.0023, cei1
cmp625, 5, Hybrid_50, 2000, 0.0025, cei1
cmp625, 5, Hybrid_100, 2000, 0.0037, cei1
cmp625, 5, Hybrid_500, 2000, 0.0138, cei1
cmp625, 5, Hybrid_1000, 2000, 0.0230, cei1
cmp625, 5, Hybrid_5000, 2000, 0.0755, cei1
cmp625, 5, NativeSorted, 2000, 0.0003, cei1
cmp625, 5, BruteForce, 5000, 0.4741, cei1
cmp625, 5, Hybrid_5, 5000, 0.0058, cei1
cmp625, 5, Hybrid_10, 5000, 0.0056, cei1
cmp625, 5, Hybrid_20, 5000, 0.0057, cei1
cmp625, 5, Hybrid_30, 5000, 0.0060, cei1
cmp625, 5, Hybrid_50, 5000, 0.0070, cei1
cmp625, 5, Hybrid_100, 5000, 0.0098, cei1
cmp625, 5, Hybrid_500, 5000, 0.0314, cei1
cmp625, 5, Hybrid_1000, 5000, 0.0617, cei1
cmp625, 5, Hybrid_5000, 5000, 0.4721, cei1
cmp625, 5, NativeSorted, 5000, 0.0007, cei1
cmp625, 5, BruteForce, 10000, 1.8894, cei1
cmp625, 5, Hybrid_5, 10000, 0.0129, cei1
cmp625, 5, Hybrid_10, 10000, 0.0125, cei1
cmp625, 5, Hybrid_20, 10000, 0.0127, cei1
cmp625, 5, Hybrid_30, 10000, 0.0132, cei1
cmp625, 5, Hybrid_50, 10000, 0.0151, cei1
cmp625, 5, Hybrid_100, 10000, 0.0209, cei1
cmp625, 5, Hybrid_500, 10000, 0.0677, cei1
cmp625, 5, Hybrid_1000, 10000, 0.1418, cei1
cmp625, 5, Hybrid_5000, 10000, 0.5817, cei1
cmp625, 5, NativeSorted, 10000, 0.0016, cei1
cmp625, 5, BruteForce, 50000, 49.9511, cei1
cmp625, 5, Hybrid_5, 50000, 0.0710, cei1
cmp625, 5, Hybrid_10, 50000, 0.0684, cei1
cmp625, 5, Hybrid_20, 50000, 0.0690, cei1
cmp625, 5, Hybrid_30, 50000, 0.0729, cei1
cmp625, 5, Hybrid_50, 50000, 0.0819, cei1
cmp625, 5, Hybrid_100, 50000, 0.1088, cei1
cmp625, 5, Hybrid_500, 50000, 0.3488, cei1
cmp625, 5, Hybrid_1000, 50000, 0.6655, cei1
cmp625, 5, Hybrid_5000, 50000, 3.2079, cei1
cmp625, 5, NativeSorted, 50000, 0.0097, cei1
cmp625, 5, BruteForce, 100000, 211.7043, cei1
cmp625, 5, Hybrid_5, 100000, 0.1626, cei1
cmp625, 5, Hybrid_10, 100000, 0.1585, cei1
cmp625, 5, Hybrid_20, 100000, 0.1599, cei1
cmp625, 5, Hybrid_30, 100000, 0.1671, cei1
cmp625, 5, Hybrid_50, 100000, 0.1858, cei1
cmp625, 5, Hybrid_100, 100000, 0.2382, cei1
cmp625, 5, Hybrid_500, 100000, 0.7393, cei1
cmp625, 5, Hybrid_1000, 100000, 1.3383, cei1
cmp625, 5, Hybrid_5000, 100000, 6.4871, cei1
cmp625, 5, NativeSorted, 100000, 0.0212, cei1
cmp625, 5, BruteForce, 500000, 5616.2783, cei1
cmp625, 5, Hybrid_5, 500000, 0.9349, cei1
cmp625, 5, Hybrid_10, 500000, 0.9109, cei1
cmp625, 5, Hybrid_20, 500000, 0.9177, cei1
cmp625, 5, Hybrid_30, 500000, 0.9515, cei1
cmp625, 5, Hybrid_50, 500000, 1.0434, cei1
cmp625, 5, Hybrid_100, 500000, 1.3155, cei1
cmp625, 5, Hybrid_500, 500000, 3.7628, cei1
cmp625, 5, Hybrid_1000, 500000, 6.8717, cei1
cmp625, 5, Hybrid_5000, 500000, 31.5652, cei1
cmp625, 5, NativeSorted, 500000, 0.1351, cei1
cmp625, 5, BruteForce, 1000000, 28738.9997, cei1
cmp625, 5, Hybrid_5, 1000000, 2.0617, cei1
cmp625, 5, Hybrid_10, 1000000, 2.0077, cei1
cmp625, 5, Hybrid_20, 1000000, 2.0191, cei1
cmp625, 5, Hybrid_30, 1000000, 2.0872, cei1
cmp625, 5, Hybrid_50, 1000000, 2.2667, cei1
cmp625, 5, Hybrid_100, 1000000, 2.8097, cei1
cmp625, 5, Hybrid_500, 1000000, 7.7110, cei1
cmp625, 5, Hybrid_1000, 1000000, 13.9266, cei1
cmp625, 5, Hybrid_5000, 1000000, 65.6712, cei1
cmp625, 5, NativeSorted, 1000000, 0.3122, cei1
cmp625, 6, BruteForce, 1000, 0.0198, cei1
cmp625, 6, Hybrid_5, 1000, 0.0009, cei1
cmp625, 6, Hybrid_10, 1000, 0.0009, cei1
cmp625, 6, Hybrid_20, 1000, 0.0008, cei1
cmp625, 6, Hybrid_30, 1000, 0.0009, cei1
cmp625, 6, Hybrid_50, 1000, 0.0012, cei1
cmp625, 6, Hybrid_100, 1000, 0.0017, cei1
cmp625, 6, Hybrid_500, 1000, 0.0073, cei1
cmp625, 6, Hybrid_1000, 1000, 0.0197, cei1
cmp625, 6, Hybrid_5000, 1000, 0.0191, cei1
cmp625, 6, NativeSorted, 1000, 0.0001, cei1
cmp625, 6, BruteForce, 2000, 0.0798, cei1
cmp625, 6, Hybrid_5, 2000, 0.0020, cei1
cmp625, 6, Hybrid_10, 2000, 0.0019, cei1
cmp625, 6, Hybrid_20, 2000, 0.0020, cei1
cmp625, 6, Hybrid_30, 2000, 0.0021, cei1
cmp625, 6, Hybrid_50, 2000, 0.0024, cei1
cmp625, 6, Hybrid_100, 2000, 0.0037, cei1
cmp625, 6, Hybrid_500, 2000, 0.0124, cei1
cmp625, 6, Hybrid_1000, 2000, 0.0265, cei1
cmp625, 6, Hybrid_5000, 2000, 0.0775, cei1
cmp625, 6, NativeSorted, 2000, 0.0003, cei1
cmp625, 6, BruteForce, 5000, 0.4842, cei1
cmp625, 6, Hybrid_5, 5000, 0.0063, cei1
cmp625, 6, Hybrid_10, 5000, 0.0060, cei1
